Ticker,Ad,Kategori,TEFAS_Kind,Tur,Risk_Deger,Son_Fiyat,RSI,Ret1M,Ret3M,Ret6M,Ret1Y,Ret3Y,Ret5Y,Vol,YF_Symbol,_tcmb_guncellendi
OLA,OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,51.814596,53.2,0.8986,1.6308,6.8229,19.0762,176.6518,0.0,18.0,,
OLD,QNB PORTFÖY TEMİZ ENERJİ VE SU FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,6.0,3.136683,59.7,3.3292,7.1076,19.587,53.8184,150.4105,0.0,33.0,,
OLE,OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,2.0,4.701613,60.0,3.259,10.3799,21.5573,51.1804,2.4211,0.0,7.0,,
OMG,AZİMUT PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Hisse Senedi Şemsiye Fonu,6.0,1.743954,59.7,1.3191,4.8087,32.4872,62.5795,0.0,0.0,33.0,,
ONE,AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Serbest Şemsiye Fonu,6.0,1.447657,54.5,-2.8561,3.4613,30.1867,35.3377,0.0,0.0,33.0,,
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,57.45494,54.3,1.4563,3.4637,9.9688,23.5312,0.0,0.0,18.0,,
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,TEFAS,YAT,Serbest Şemsiye Fonu,2.0,5.958087,58.9,1.972,8.3344,18.9662,49.6735,2.4399,3.9496,7.0,,
ONS,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,51.75072,54.6,1.9953,5.0627,9.5415,21.916,156.079,0.0,18.0,,
OPB,OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,4.0,12.648677,58.6,2.2631,6.8722,27.5222,48.8504,2.5183,6.6739,18.0,,
OPD,OSMANLI PORTFÖY ANKA SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,2.0,7.938079,59.2,3.0514,9.5878,20.0746,47.1379,2.4581,4.6372,7.0,,
OPF,OSMANLI PORTFÖY AGRESİF DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,6.0,3.044968,68.4,9.1108,21.4418,38.611,82.94,0.0,0.0,33.0,,
OPH,OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Hisse Senedi Şemsiye Fonu,6.0,25.122459,58.1,3.5767,4.6733,30.1247,44.8699,2.4784,11.2386,33.0,,
OPI,OSMANLI PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Hisse Senedi Şemsiye Fonu,6.0,22.955153,55.2,-0.7137,0.8076,26.4866,39.2707,2.322,11.0929,33.0,,
OPL,OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,4.0,8.865109,56.2,-0.0244,-1.8817,18.5074,49.7113,2.8637,7.5909,18.0,,
